reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Joud Camp / مخيم جود,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,46,14,221,44,55,57,55,5,5,46,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,TRY,3825,Tranche,1,25.485,150.088287227781,6904.061212477928,New IDPs,2023-07-05,2023-07-05,the same beneficiaries received the 2nd and 3rd installments during the same month ($200 mentioned below),Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,مخيم الغربي /Batı kampı,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,182,61,894,172,186,262,252,10,12,182,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,TRY,3880,Tranche,1,25.8645,150.012565485511,27302.286918363006,New IDPs,2023-07-11,2023-07-11,the same beneficiaries received the 2nd and 3rd installments during the same month ($200 mentioned below),Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Ma'mal Altanak / معمل التنك,SY02,SY0203,SY020300,C1366,NA,CP001819,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,135,56,796,129,153,245,246,12,11,135,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,TRY,3915,Tranche,1,26.0981,150.010920335197,20251.47424525157,New IDPs,2023-07-18,2023-07-18,the same beneficiaries received the 2nd and 3rd installments during the same month ($200 mentioned below),Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,Al-Bashir - mercy without limits   .,SY02,SY0203,SY020302,C1426,NA,TEMP064,NA,NA,36.392488,36.689563,Multipurpose - Repeated,Earthquake,134,55,699,125,137,200,218,9,10,134,0,0,NA,Yes,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,26800,New IDPs,2023-07-25,2023-07-25,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,Salahuddin kampı / ايواء صلاح الدين,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - Repeated,Earthquake,85,27,530,101,120,166,139,2,2,85,0,0,NA,Yes,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,17000,New IDPs,2023-07-25,2023-07-25,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,Ensar ve Müslüman kampı/ ايواء انصار و مسلم,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - Repeated,Earthquake,95,25,485,98,101,149,132,3,2,95,0,0,NA,Yes,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,19000,New IDPs,2023-07-25,2023-07-25,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,ibrahim halil kampı/ مخيم ابراهيم الخليل,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,298,135,1414,262,318,401,387,22,24,298,0,0,NA,Yes,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,59600,New IDPs,2023-07-25,2023-07-25,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,al wafa / مخيم الوفاء,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,109,38,527,99,114,145,153,8,8,109,0,0,NA,Yes,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,21800,New IDPs,2023-07-26,2023-07-26,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,ايواء المزراعة /Almazrah Camp,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - Repeated,Earthquake,60,22,334,46,60,100,123,2,3,61,0,0,NA,Yes,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,12000,New IDPs,2023-07-26,2023-07-26,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Joud Camp / مخيم جود,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,46,14,221,44,55,57,55,5,5,46,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,9200,New IDPs,2023-07-26,2023-07-26,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,مخيم الغربي /Batı kampı,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,182,61,894,172,186,262,252,10,12,182,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,36400,New IDPs,2023-07-26,2023-07-26,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Ma'mal Altanak / معمل التنك,SY02,SY0203,SY020300,C1366,NA,CP001819,NA,NA,36.511094,36.865523,Multipurpose - Repeated,Earthquake,135,56,796,129,153,245,246,12,11,135,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,200,Tranche,1,1,200,27000,New IDPs,2023-07-26,2023-07-26,2nd and 3rd rounds combined,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,şurta kampı/مخيم الشرطة البرج,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,21,9,118,25,23,30,37,1,2,21,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3150,New IDPs,2023-07-12,2023-07-12,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Mahmudiye kampı/مخيم المحمودية,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,64,24,346,73,76,103,90,2,2,64,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,9600,New IDPs,2023-07-12,2023-07-12,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Valid petrol kampı/مخيم كازية الوليد,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,40,31,190,33,44,41,67,1,4,40,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,6000,New IDPs,2023-07-12,2023-07-12,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Odun kesim fabrikası/مخيم منشرة الخشب,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,20,9,118,23,26,41,27,1,0,20,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3000,New IDPs,2023-07-12,2023-07-12,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
