admin0name_en,admin0name_ar,admin0pcode,admin1name_en,admin1name_ar,admin1pcode,admin2name_en,admin2name_ar,admin2pcode,admin3name_en,admin3name_ar,admin3pcode,admin4name_en,admin4name_ar,column1,admin4pcode,location_name_en,location_name_ar,location_pcode,location_type,last_update_date,latitude_y,longitude_x,zone,aoc_rosc
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,Damascus,C1001,Damascus,دمشق,C1001,Community,19/12/2018,33.517175,36.27671,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Yarmuk,اليرموك,Yarmuk (Damascus),C1002,Yarmuk (Damascus),اليرموك - دمشق,C1002,Community,19/12/2018,33.471206,36.305668,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Musallamiyeh,المسلمية,Musallamiyeh,C1003,Musallamiyeh,المسلمية,C1003,Community,19/12/2018,36.310003,37.205732,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Esan,عسان,Esan,C1004,Esan,عسان,C1004,Community,19/12/2018,36.086354,37.225272,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Thabiyeh,الذهبية,Thabiyeh,C1005,Thabiyeh,الذهبية - مركز جبل سمعان,C1005,Community,19/12/2018,36.13687,37.201471,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Saqlaya,صقلايا,Saqlaya,C1006,Saqlaya,صقلايا,C1006,Community,19/12/2018,36.124461,37.195377,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Aleppo,حلب,Aleppo,C1007,Aleppo,حلب,C1007,Community,19/12/2018,36.206013,37.15242,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Tal Shgheib,تل شغيب,Tal Shgheib,C1008,Tal Shgheib,تل شغيب,C1008,Community,19/12/2018,36.14144,37.24137,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Abtin,عبطين,Abtin,C1009,Abtin,عبطين - مركز جبل سمعان,C1009,Community,19/12/2018,36.046593,37.124315,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Haddadin,حدادين,Haddadin,C1010,Haddadin,حدادين,C1010,Community,19/12/2018,36.100482,37.167543,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Tal Sheer Simaan,تل شعير سمعان,Tal Sheer Simaan,C1011,Tal Sheer Simaan,تل شعير سمعان,C1011,Community,19/12/2018,36.318433,37.267103,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Hreibel,حريبل,Hreibel,C1012,Hreibel,حريبل,C1012,Community,19/12/2018,36.132556,37.173069,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Wdeihi,الوضيحي,Wdeihi,C1013,Wdeihi,الوضيحي - مركز جبل سمعان,C1013,Community,19/12/2018,36.100404,37.127591,0,Government and allied forces
